,date,meantemp
0,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,33.625
1,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,35.25
2,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,33.125
3,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,34.625
4,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.75
5,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.75
6,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,34.875
7,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,35.25
8,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,36.875
9,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,37.5
10,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,38.5
11,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,37.625
12,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,37.875
13,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,37.25
14,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,37.625
15,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.875
16,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.25
17,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.5
18,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,33.875
19,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,36.375
20,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,36.875
21,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,33.875
22,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,35.75
23,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,38.0
24,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,36.875
25,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,34.5
26,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.125
27,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,33.0
28,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.25
29,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.5
30,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,34.75
31,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,34.875
32,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,33.0
33,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.0
34,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,31.375
35,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,29.5
36,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,28.875
37,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,31.38889
38,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,34.705883
39,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.625
40,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,34.0
41,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,35.0
42,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,36.0
43,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,36.125
44,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,36.625
45,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,35.875
46,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,31.625
47,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.375
48,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,33.125
49,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.625
50,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.75
51,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,27.25
52,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,29.875
53,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.875
54,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.125
55,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,31.625
56,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.625
57,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.5
58,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.75
59,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.5
60,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,31.714285
61,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.0
62,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.25
63,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,31.875
64,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,32.5
65,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,33.25
66,hdfs://127.0.0.1:9000/Training_Online_Stream/FlumeData.1731966643194,30.125
